id,country,product_group,shipment_mode,vendor,managed_by,fulfill_via,scheduled_date,delivered_date,year,month,year_month,freight_cost_usd,weight_kg,cost_per_kg,freight_category,delivery_status,days_variance,line_item_value,is_on_time,is_late,is_air,is_truck
858,Tanzania,ARV,Air,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),PMO - US,Direct Drop,2009-04-21,2009-04-21,2009,4,2009-04,9339,4093,2.281700464207183,Numeric,On-Time,0,2520000,1,0,1,0
914,Côte d'Ivoire,ANTM,Air,IDA FOUNDATION,PMO - US,Direct Drop,2009-03-02,2009-03-02,2009,3,2009-03,25405.22,5209,4.877177961220964,Numeric,On-Time,0,2731.4,1,0,1,0
937,Mozambique,HRDT,Air,"Trinity Biotech, Plc",PMO - US,Direct Drop,2009-03-23,2009-03-23,2009,3,2009-03,23914.8,1906,12.547114375655823,Numeric,On-Time,0,182400,1,0,1,0
960,Vietnam,ARV,Air,Aurobindo Pharma Limited,PMO - US,Direct Drop,2009-04-10,2009-04-10,2009,4,2009-04,12835.2,3509,3.657794243374181,Numeric,On-Time,0,51350.04,1,0,1,0
961,Vietnam,ARV,Air,Aurobindo Pharma Limited,PMO - US,Direct Drop,2009-04-10,2009-04-10,2009,4,2009-04,NA,NA,NA,Cross-reference,On-Time,0,50400,1,0,1,0
962,Vietnam,ARV,Air,CIPLA LIMITED,PMO - US,Direct Drop,2009-03-23,2009-03-23,2009,3,2009-03,4225.93,924,4.573517316017316,Numeric,On-Time,0,72864,1,0,1,0
979,Vietnam,ARV,Air,Aurobindo Pharma Limited,PMO - US,Direct Drop,2009-03-16,2009-03-16,2009,3,2009-03,892.5,211,4.229857819905213,Numeric,On-Time,0,20250.72,1,0,1,0
985,Tanzania,ARV,Air,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),PMO - US,Direct Drop,2009-05-28,2009-05-28,2009,5,2009-05,6668.61,644,10.354984472049688,Numeric,On-Time,0,21536.4,1,0,1,0
986,Tanzania,ARV,Air,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),PMO - US,Direct Drop,2009-05-04,2009-05-04,2009,5,2009-05,0,237,NA,Included,On-Time,0,21526.32,1,0,1,0
993,Rwanda,HRDT,Air,Premier Medical Corporation Ltd.,PMO - US,Direct Drop,2009-04-28,2009-04-28,2009,4,2009-04,12595.81,2800,4.4985035714285715,Numeric,On-Time,0,185602.5,1,0,1,0
1037,Nigeria,ARV,Air,BRISTOL-MYERS SQUIBB,PMO - US,Direct Drop,2009-09-30,2009-09-30,2009,9,2009-09,463,11,42.09090909090909,Numeric,On-Time,0,4734,1,0,1,0
1046,Haiti,ARV,Air,BRISTOL-MYERS SQUIBB,PMO - US,Direct Drop,2009-03-31,2009-03-31,2009,3,2009-03,260,43,6.046511627906977,Numeric,On-Time,0,760,1,0,1,0
1047,Haiti,ARV,Air,BRISTOL-MYERS SQUIBB,PMO - US,Direct Drop,2009-03-31,2009-03-31,2009,3,2009-03,NA,NA,NA,Cross-reference,On-Time,0,402.88,1,0,1,0
1048,Haiti,ARV,Air,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),PMO - US,Direct Drop,2009-04-15,2009-04-15,2009,4,2009-04,893.22,10,89.322,Numeric,On-Time,0,472.88,1,0,1,0
1063,South Africa,ARV,Air,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-03-31,2008-12-02,2009,3,2009-03,0,NA,NA,Included,On-Time,-119,47522.75,1,0,1,0
1065,South Africa,ARV,Air,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-04-07,2008-12-03,2009,4,2009-04,0,NA,NA,Included,On-Time,-125,49840,1,0,1,0
1066,South Africa,ARV,Air,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-04-07,2008-12-03,2009,4,2009-04,0,NA,NA,Included,On-Time,-125,3588.48,1,0,1,0
1067,South Africa,ARV,Air,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-05-05,2008-12-23,2009,5,2009-05,0,NA,NA,Included,On-Time,-133,1152,1,0,1,0
1068,South Africa,ARV,Air,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-05-12,2008-12-30,2009,5,2009-05,0,NA,NA,Included,On-Time,-133,10512,1,0,1,0
1070,South Africa,ARV,Air,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-03-31,2008-11-21,2009,3,2009-03,0,NA,NA,Included,On-Time,-130,3384,1,0,1,0
1077,South Africa,ARV,Air,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-06-25,2009-04-21,2009,6,2009-06,0,NA,NA,Included,On-Time,-65,1954.9,1,0,1,0
1078,South Africa,ARV,Truck,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-06-25,2009-06-05,2009,6,2009-06,0,NA,NA,Included,On-Time,-20,16642,1,0,0,1
1079,South Africa,ARV,Air,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-06-25,2009-06-17,2009,6,2009-06,0,NA,NA,Included,On-Time,-8,1932.3,1,0,1,0
1080,South Africa,ARV,Truck,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-08-19,2009-08-19,2009,8,2009-08,0,NA,NA,Included,On-Time,0,10665,1,0,0,1
1084,South Africa,ARV,Air,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-06-25,2009-04-14,2009,6,2009-06,0,NA,NA,Included,On-Time,-72,134385.3,1,0,1,0
1085,South Africa,ARV,Air,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-06-25,2009-04-29,2009,6,2009-06,0,NA,NA,Included,On-Time,-57,80640,1,0,1,0
1086,South Africa,ARV,Air,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-06-25,2009-04-20,2009,6,2009-06,0,NA,NA,Included,On-Time,-66,35016,1,0,1,0
1095,Botswana,HRDT,Air,Orasure Technologies Inc.,PMO - US,Direct Drop,2009-11-13,2009-11-13,2009,11,2009-11,1172.11,48,24.418958333333332,Numeric,On-Time,0,7000,1,0,1,0
1109,Côte d'Ivoire,ARV,Air,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),PMO - US,Direct Drop,2009-06-30,2009-06-30,2009,6,2009-06,14806.48,2523,5.8686008719778044,Numeric,On-Time,0,420864,1,0,1,0
1110,Côte d'Ivoire,ARV,Air,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),PMO - US,Direct Drop,2009-07-22,2009-07-22,2009,7,2009-07,7642.97,175,43.67411428571429,Numeric,On-Time,0,15344,1,0,1,0
1111,South Africa,ARV,Truck,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-07-31,2009-04-21,2009,7,2009-07,0,NA,NA,Included,On-Time,-101,1080,1,0,0,1
1114,South Africa,ARV,Truck,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-05-15,2009-04-17,2009,5,2009-05,0,NA,NA,Included,On-Time,-28,2816,1,0,0,1
1115,South Africa,ARV,Truck,S. BUYS WHOLESALER,PMO - US,Direct Drop,2009-05-15,2009-04-23,2009,5,2009-05,3134.85,NA,NA,Numeric,On-Time,-22,19770,1,0,0,1
