id,project_code,country,managed_by,fulfill_via,vendor_inco_term,product_group,sub_class,vendor,shipment_mode,shipment_mode_clean,scheduled_date,delivered_date,recorded_date,year,month,year_month,weight_kg,freight_cost_usd,freight_category,freight_flag,freight_outlier_flag,line_item_value,cost_per_kg,delivery_status,days_variance
11321,100-GH-T01,Ghana,PMO - US,From RDC,N/A - From RDC,ARV,Pediatric,SCMS from RDC,Truck,Truck,2009-08-12,2009-08-12,2009-08-12,2009,8,2009-08,NA,NA,Cross-reference,TRUE,FALSE,8.88,NA,On-Time,0
11322,110-ZM-T01,Zambia,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Truck,Truck,2009-06-10,2009-06-10,2009-06-10,2009,6,2009-06,7995,0,Included,TRUE,FALSE,857440,NA,On-Time,0
11326,110-ZM-T01,Zambia,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Truck,Truck,2009-06-15,2009-06-15,2009-06-15,2009,6,2009-06,NA,NA,Cross-reference,TRUE,FALSE,116917.3,NA,On-Time,0
11327,110-ZM-T01,Zambia,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Truck,Truck,2009-06-15,2009-06-15,2009-06-15,2009,6,2009-06,NA,NA,Cross-reference,TRUE,FALSE,676400,NA,On-Time,0
11331,126-NG-T01,Nigeria,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air Charter,Air Charter,2009-06-16,2009-06-16,2009-06-16,2009,6,2009-06,966,7329.83,Numeric,FALSE,FALSE,126500,7.587815734989648,On-Time,0
11332,113-ZW-T01,Zimbabwe,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Truck,Truck,2009-06-22,2009-06-22,2009-06-22,2009,6,2009-06,8955,14958.2,Numeric,FALSE,FALSE,541120,1.6703740926856505,On-Time,0
11333,123-NG-T01,Nigeria,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air Charter,Air Charter,2009-06-16,2009-06-16,2009-06-16,2009,6,2009-06,2970,7329.83,Numeric,FALSE,FALSE,284800,2.467956228956229,On-Time,0
11336,104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2009-07-14,2009-07-14,2009-07-14,2009,7,2009-07,NA,NA,Cross-reference,TRUE,FALSE,79680,NA,On-Time,0
11337,119-NA-T01,Namibia,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Truck,Truck,2009-07-16,2009-07-16,2009-07-16,2009,7,2009-07,2068,8502.12,Numeric,FALSE,FALSE,250000,4.111276595744681,On-Time,0
11338,104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2009-07-16,2009-07-16,2009-07-16,2009,7,2009-07,722,2787.55,Numeric,FALSE,FALSE,36328,3.8608725761772855,On-Time,0
11339,104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2009-07-16,2009-07-16,2009-07-16,2009,7,2009-07,NA,NA,Cross-reference,TRUE,FALSE,444,NA,On-Time,0
11340,151-NG-T01,Nigeria,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air Charter,Air Charter,2009-08-04,2009-08-04,2009-08-04,2009,8,2009-08,2991,7445.8,Numeric,FALSE,FALSE,302670,2.489401537947175,On-Time,0
11341,151-NG-T01,Nigeria,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air Charter,Air Charter,2009-08-04,2009-08-04,2009-08-04,2009,8,2009-08,4724,7445.8,Numeric,FALSE,FALSE,478207.2,1.5761642675698562,On-Time,0
11342,151-NG-T01,Nigeria,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air Charter,Air Charter,2009-08-04,2009-08-04,2009-08-04,2009,8,2009-08,21,7445.8,Numeric,FALSE,FALSE,6300,354.56190476190477,On-Time,0
11343,151-NG-T01,Nigeria,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air Charter,Air Charter,2009-08-04,2009-08-04,2009-08-04,2009,8,2009-08,58,7445.8,Numeric,FALSE,FALSE,17377.5,128.37586206896552,On-Time,0
11344,104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2009-08-11,2009-08-11,2009-08-11,2009,8,2009-08,434,1854.88,Numeric,FALSE,FALSE,48697.2,4.273917050691244,On-Time,0
11345,104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2009-09-08,2009-09-08,2009-09-08,2009,9,2009-09,452,0,Included,TRUE,FALSE,60240,NA,On-Time,0
11346,151-NG-T01,Nigeria,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air Charter,Air Charter,2009-08-04,2009-08-04,2009-08-04,2009,8,2009-08,1225,7445.71,Numeric,FALSE,FALSE,222127.5,6.078130612244898,On-Time,0
11348,111-MZ-T01,Mozambique,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Truck,Truck,2009-08-27,2009-09-17,2009-09-17,2009,8,2009-08,18,1799.88,Numeric,FALSE,FALSE,912.56,99.99333333333334,Late,21
